issues,status,notes,id,category,brand,model,version,powertrain,fuel,year,price_eur,price_source,power_kw,power_cv,consumption_l_100km,consumption_kg_100km,consumption_kwh_100km,battery_kwh,range_wltp_km,emissions_g_km,image_url,source_url,motornet_detail_url
tutto ok,,,motornet_9f5d58d1ef8944,thermal,Alfa Romeo,Tonale 1.3 Plug in Hybrid 270cv Ti Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Ti Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Ti Q4 AT6,ibrida_benzina,,55800.0,motornet_prezzo_di_listino,110.0,150.0,3.5,,,,,80.0,assets/cars/motornet/motornet_9f5d58d1ef8944.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7217,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7217
tutto ok,,,motornet_5edc72639e3856,thermal,Alfa Romeo,Tonale 1.3 Plug in Hybrid 270cv Tonale Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Tonale Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Tonale Q4 AT6,ibrida_benzina,,51550.0,motornet_prezzo_di_listino,110.0,150.0,3.4,,,,,77.0,assets/cars/motornet/motornet_5edc72639e3856.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7215,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7215
tutto ok,,,motornet_1b65a51ff09b9c,thermal,Alfa Romeo,Tonale 1.3 Plug in Hybrid 270cv Veloce Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Veloce Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Veloce Q4 AT6,ibrida_benzina,,58550.0,motornet_prezzo_di_listino,110.0,150.0,3.5,,,,,80.0,assets/cars/motornet/motornet_1b65a51ff09b9c.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7219,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7219
tutto ok,,,motornet_d1b862526e9d69,thermal,Alfa Romeo,Tonale 1.5 Hybrid 175cv Business TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Business TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Business TCT7,ibrida_benzina,,43300.0,motornet_prezzo_di_listino,118.0,160.0,5.7,,,,,128.0,assets/cars/motornet/motornet_d1b862526e9d69.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7222,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7222
tutto ok,,,motornet_3697c5f2b4467b,thermal,Alfa Romeo,Tonale 1.5 Hybrid 175cv Sport Speciale TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Sport Speciale TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Sport Speciale TCT7,ibrida_benzina,,48300.0,motornet_prezzo_di_listino,118.0,160.0,5.9,,,,,133.0,assets/cars/motornet/motornet_3697c5f2b4467b.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7236,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7236
tutto ok,,,motornet_bfbb78c7bf59cb,thermal,Alfa Romeo,Tonale 1.5 Hybrid 175cv Sprint TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Sprint TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Sprint TCT7,ibrida_benzina,,43550.0,motornet_prezzo_di_listino,118.0,160.0,5.7,,,,,128.0,assets/cars/motornet/motornet_bfbb78c7bf59cb.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7220,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7220
tutto ok,,,motornet_0e62861d04a9a1,thermal,Alfa Romeo,Tonale 1.5 Hybrid 175cv Ti TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Ti TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Ti TCT7,ibrida_benzina,,46300.0,motornet_prezzo_di_listino,118.0,160.0,5.7,,,,,129.0,assets/cars/motornet/motornet_0e62861d04a9a1.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7223,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7223
tutto ok,,,motornet_30893a313dd422,thermal,Alfa Romeo,Tonale 1.5 Hybrid 175cv Tonale TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Tonale TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Tonale TCT7,ibrida_benzina,,42050.0,motornet_prezzo_di_listino,118.0,160.0,5.7,,,,,128.0,assets/cars/motornet/motornet_30893a313dd422.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7221,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7221
tutto ok,,,motornet_8d3504210cc420,thermal,Alfa Romeo,Tonale 1.5 Hybrid 175cv Veloce TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Veloce TCT7,Alfa Romeo Tonale 1.5 Hybrid 175cv Veloce TCT7,ibrida_benzina,,49050.0,motornet_prezzo_di_listino,118.0,160.0,5.7,,,,,129.0,assets/cars/motornet/motornet_8d3504210cc420.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7225,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7225
tutto ok,,,motornet_359f84afc38d7f,thermal,Alfa Romeo,Stelvio 2.9 V6 520cv Quadrifoglio Q4 AT8,Alfa Romeo Stelvio 2.9 V6 520cv Quadrifoglio Q4 AT8,Alfa Romeo Stelvio 2.9 V6 520cv Quadrifoglio Q4 AT8,benzina,,111500.0,motornet_prezzo_di_listino,382.0,520.0,11.8,,,,,267.0,assets/cars/motornet/motornet_359f84afc38d7f.jpg,https://www.motornet.it/auto/scheda-modello/modello/1744/allestimento/ALF7173,https://www.motornet.it/auto/scheda-modello/modello/1744/allestimento/ALF7173
